Col#   Number  Strings Other
 0      208      0      0
 1      208      0      0
 2      208      0      0
 3      208      0      0
 4      208      0      0
 5      208      0      0
 6      208      0      0
 7      208      0      0
 8      208      0      0
 9      208      0      0
10      208      0      0
11      208      0      0
 .        .      .      .
 .        .      .      .
 .        .      .      .
54      208      0      0
55      208      0      0
56      208      0      0
57      208      0      0
58      208      0      0
59      208      0      0
60      0      208      0
